Date,Price,Year,Month,Day
20-04-2026,103.4,2026,4,20
17-04-2026,98.63,2026,4,17
16-04-2026,116.63,2026,4,16
15-04-2026,114.93,2026,4,15
14-04-2026,118.69,2026,4,14
13-04-2026,123.28,2026,4,13
10-04-2026,119.07,2026,4,10
09-04-2026,119.03,2026,4,9
08-04-2026,122.11,2026,4,8
07-04-2026,138.21,2026,4,7
02-04-2026,127.61,2026,4,2
01-04-2026,119.56,2026,4,1
31-03-2026,126.69,2026,3,31
30-03-2026,121.88,2026,3,30
27-03-2026,121.47,2026,3,27
26-03-2026,113.39,2026,3,26
25-03-2026,109.14,2026,3,25
24-03-2026,108.42,2026,3,24
23-03-2026,103.79,2026,3,23
20-03-2026,118.42,2026,3,20
19-03-2026,111.05,2026,3,19
18-03-2026,118.09,2026,3,18
17-03-2026,108.39,2026,3,17
16-03-2026,101.04,2026,3,16
13-03-2026,103.23,2026,3,13
12-03-2026,102.38,2026,3,12
11-03-2026,90.98,2026,3,11
10-03-2026,89.84,2026,3,10
09-03-2026,94.35,2026,3,9
06-03-2026,95.74,2026,3,6
05-03-2026,88.59,2026,3,5
04-03-2026,81.56,2026,3,4
03-03-2026,83.28,2026,3,3
02-03-2026,77.24,2026,3,2
27-02-2026,71.32,2026,2,27
26-02-2026,71.66,2026,2,26
25-02-2026,70.69,2026,2,25
24-02-2026,71.21,2026,2,24
23-02-2026,71.9,2026,2,23
20-02-2026,72.75,2026,2,20
19-02-2026,73.17,2026,2,19
18-02-2026,71.78,2026,2,18
17-02-2026,69.77,2026,2,17
16-02-2026,70.81,2026,2,16
13-02-2026,69.96,2026,2,13
12-02-2026,69.8,2026,2,12
11-02-2026,71.52,2026,2,11
10-02-2026,71.01,2026,2,10
09-02-2026,71.19,2026,2,9
06-02-2026,70.45,2026,2,6
05-02-2026,69.87,2026,2,5
04-02-2026,71.15,2026,2,4
03-02-2026,70.01,2026,2,3
02-02-2026,67.72,2026,2,2
30-01-2026,72.25,2026,1,30
29-01-2026,71,2026,1,29
28-01-2026,70.9,2026,1,28
27-01-2026,70.28,2026,1,27
26-01-2026,67.7,2026,1,26
23-01-2026,68.16,2026,1,23
22-01-2026,65.46,2026,1,22
21-01-2026,66.72,2026,1,21
20-01-2026,67.68,2026,1,20
19-01-2026,66.91,2026,1,19
16-01-2026,66.97,2026,1,16
15-01-2026,66.16,2026,1,15
14-01-2026,68.87,2026,1,14
13-01-2026,67.58,2026,1,13
12-01-2026,65.4,2026,1,12
09-01-2026,65.11,2026,1,9
08-01-2026,63.34,2026,1,8
07-01-2026,61.08,2026,1,7
06-01-2026,62.1,2026,1,6
05-01-2026,63,2026,1,5
02-01-2026,61.98,2026,1,2
31-12-2025,61.35,2025,12,31
30-12-2025,62.3,2025,12,30
29-12-2025,63.1,2025,12,29
24-12-2025,63.7,2025,12,24
